⚛️央视,#genre#
CCTV8电视剧,http://223.109.33.33/1403-txt.otvstream.otvcloud.com/otv/skcc/live/channel8/index.m3u8
CCTV8电视剧,http://121.51.249.73/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225492/index.m3u8
CCTV8电视剧,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226012/1.m3u8
CCTV9纪录,http://1.189.99.196/h5liveolpicga.miguvideo.com/migu/kailu/20200324/cctv9hd/57/index.m3u8?&encrypt=
CCTV9纪录,http://223.109.33.33/liveplay-kk.rtxapp.com/live/program/live/cctv9hd8m/8000000/mnf.m3u8
CCTV9纪录,http://223.109.33.33/1403-txt.otvstream.otvcloud.com/otv/skcc/live/channel9/index.m3u8
CCTV9纪录,http://121.51.249.73/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225763/index.m3u8
CCTV9纪录,http://media.hndyjyfw.gov.cn/live/jz-cctv-9/live.m3u8
CCTV9纪录,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226197/1.m3u8
CCTV10科教,http://1.189.99.196/h5liveolpicga.miguvideo.com/wd_r2/ocn/cctv10hd/3000/index.m3u8?&encrypt=
CCTV10科教,http://223.109.33.33/liveplay-kk.rtxapp.com/live/program/live/cctv10hd8m/8000000/mnf.m3u8
CCTV10科教,http://223.109.33.33/1403-txt.otvstream.otvcloud.com/otv/skcc/live/channel10/index.m3u8
CCTV10科教,http://121.51.249.73/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225606/index.m3u8
CCTV10科教,http://media.hndyjyfw.gov.cn/live/jz-cctv-10/live.m3u8
CCTV10科教,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226189/1.m3u8
CCTV11戏曲,http://1.189.99.196/h5liveolpicga.miguvideo.com/migu/kailu/cctv11hd/57/20200103/index.m3u8?&encrypt=
CCTV11戏曲,http://223.109.33.33/liveplay-kk.rtxapp.com/live/program/live/cctv11hd8m/8000000/mnf.m3u8
CCTV11戏曲,http://223.109.33.33/1301-txt.otvstream.otvcloud.com/otv/skcc/live/channel41/index.m3u8
CCTV11戏曲,http://121.51.249.73/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225853/index.m3u8
CCTV11戏曲,http://media.hndyjyfw.gov.cn/live/jz-cctv-11/live.m3u8
CCTV11戏曲,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225776/1.m3u8
CCTV12社会与法,http://1.189.99.196/h5liveolpicga.miguvideo.com/migu/kailu/20200324/cctv12hd/57/index.m3u8?&encrypt=
CCTV12社会与法,http://223.109.33.33/liveplay-kk.rtxapp.com/live/program/live/cctv12hd8m/8000000/mnf.m3u8
CCTV12社会与法,http://223.109.33.33/1403-txt.otvstream.otvcloud.com/otv/skcc/live/channel11/index.m3u8
CCTV12社会与法,http://121.51.249.73/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225605/index.m3u8
CCTV12社会与法,http://media.hndyjyfw.gov.cn/live/jz-cctv-12/live.m3u8
CCTV13新闻,http://1.189.99.196/h5liveolpicga.miguvideo.com/envivo_x/2018/SD/cctv13/2000/index.m3u8?&encrypt=
CCTV13新闻,http://223.109.33.33/liveplay-kk.rtxapp.com/live/program/live/cctv13xwhd8m/8000000/mnf.m3u8
CCTV13新闻,http://223.109.33.33/1403-txt.otvstream.otvcloud.com/otv/skcc/live/channel39/index.m3u8
CCTV13新闻,https://cctvwbndks.v.kcdnvip.com/cctvwbnd/cctv13_2/index.m3u8
CCTV13新闻,http://cctvwbndali.v.myalicdn.com/cctvwbnd/cctv13_2/index.m3u8
CCTV13新闻,https://live-play.cctvnews.cctv.com/cctv/merge_cctv13_mhd.m3u8
CCTV13新闻,https://live-play.cctvnews.cctv.com/cctv/merge_cctv13_mud.m3u8
CCTV13新闻,http://media.hndyjyfw.gov.cn/live/jz-cctv-13/live.m3u8
CCTV13新闻,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226233/1.m3u8
CCTV14少儿,http://1.189.99.196/h5liveolpicga.miguvideo.com/wd_r2/ocn/cctv14hd/3000/index.m3u8?&encrypt=
CCTV14少儿,http://223.109.33.33/liveplay-kk.rtxapp.com/live/program/live/cctvsehd8m/8000000/mnf.m3u8
CCTV14少儿,http://223.109.33.33/1403-txt.otvstream.otvcloud.com/otv/skcc/live/channel12/index.m3u8
CCTV14少儿,http://121.51.249.73/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225604/index.m3u8
CCTV14少儿,http://media.hndyjyfw.gov.cn/live/jz-cctv-14/live.m3u8
CCTV14少儿,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226193/1.m3u8
CCTV15音乐,http://1.189.99.196/h5liveolpicga.miguvideo.com/migu/kailu/20200324/cctv15hd/57/index.m3u8?&encrypt=
CCTV15音乐,http://liveop.cctv.cn/hls/ART5d12724da0504d13bf1776da715cad18L/playlist.m3u8
CCTV15音乐,http://223.109.33.33/liveplay-kk.rtxapp.com/live/program/live/cctv15hd8m/8000000/mnf.m3u8
CCTV15音乐,http://223.109.33.33/1403-txt.otvstream.otvcloud.com/otv/skcc/live/channel40/index.m3u8
CCTV15音乐,http://121.51.249.73/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225854/index.m3u8
CCTV15音乐,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225785/1.m3u8
CCTV16奥林匹克,http://223.109.33.33/liveplay-kk.rtxapp.com/live/program/live/cctv16hd8m/8000000/mnf.m3u8
CCTV16奥林匹克,http://223.109.33.33/liveplay-kk.rtxapp.com/live/program/live/cctv16hd4k/15000000/mnf.m3u8
CCTV16奥林匹克,http://lu1.cc/itv/php/cctv16.php?id=cctv16
CCTV16奥林匹克,http://lu1.cc/itv/php/cctv16.php?id=cctv16b
CCTV16奥林匹克,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226921/1.m3u8
CCTV17农业农村,http://1.189.99.196/h5liveolpicga.miguvideo.com/migu/kailu/20200324/cctv17hd/57/index.m3u8?&encrypt=
CCTV17农业农村,http://223.109.33.33/liveplay-kk.rtxapp.com/live/program/live/cctv17hd8m/8000000/mnf.m3u8
CCTV17农业农村,http://223.109.33.33/4309-txt.otvstream.otvcloud.com/otv/skcc/live/channel90/index.m3u8
CCTV17农业农村,http://121.51.249.73/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225608/index.m3u8
CCTV4K超高清,http://lu1.cc/itv/php/cctv4k.php?id=4khd
CCTV4K超高清,http://lu1.cc/itv/php/cctv4k.php?id=4kfhd
CCTV4K超高清,http://223.109.33.33/liveplay-kk.rtxapp.com/live/program/live/cctv4k/15000000/mnf.m3u8
CCTV4K超高清,http://223.109.33.33/liveplay-kk.rtxapp.com/live/program/live/cctv4k/15000000/mnf.m3u8
CCTV兵器科技,http://hls.live.cqccn.com/__cl/cg:live/__c/bqkjHD/__op/default/__f/index.m3u8
CCTV电视指南,http://111.20.35.103:6610/yinhe/2/ch00000090990000002545/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV第一剧场,http://hls.live.cqccn.com/__cl/cg:live/__c/diyijuchangHD/__op/default/__f/index.m3u8
CCTV风云剧场,http://hls.live.cqccn.com/__cl/cg:live/__c/fyjcHD/__op/default/__f/index.m3u8
CCTV风云剧场,http://hls.live.cqccn.com/__cl/cg:live/__c/shandongHD/__op/default/__f/index.m3u8
CCTV风云音乐,http://hls.live.cqccn.com/__cl/cg:live/__c/fyyyHD/__op/default/__f/index.m3u8
CCTV风云足球,http://hls.live.cqccn.com/__cl/cg:live/__c/fyzqHD/__op/default/__f/index.m3u8
CCTV高尔夫网球,http://hls.live.cqccn.com/__cl/cg:live/__c/golfHD/__op/default/__f/index.m3u8
CCTV怀旧剧场,http://hls.live.cqccn.com/__cl/cg:live/__c/hjjcHD/__op/default/__f/index.m3u8
CCTV女性时尚,http://hls.live.cqccn.com/__cl/cg:live/__c/nvxing/__op/default/__f/index.m3u8
CCTV女性时尚,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226237/1.m3u8
CCTV世界地理,http://111.20.35.103:6610/yinhe/2/ch00000090990000002495/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV央视文化精品,http://hls.live.cqccn.com/__cl/cg:live/__c/yswhHD/__op/default/__f/index.m3u8
CCTV央视台球,http://lu1.cc/itv/php/yqgd.php?id=ystq
中央新影-发现之旅,http://1.189.99.196/h5liveolpicga.miguvideo.com/wd_r3/cnr/faxianzhilv/2000/index.m3u8?&encrypt=
中央新影-发现之旅,http://121.51.249.73/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221226018/index.m3u8
中央新影-发现之旅,http://lu1.cc/itv/php/yqgd.php?id=fxzl
中央新影-发现之旅,http://223.109.33.33/livehkkp.chinamcache.com/live/fxzl.m3u8
中央新影-发现之旅,http://hls.live.cqccn.com/__cl/cg:live/__c/faxian/__op/default/__f/index.m3u8
中央新影-老故事,http://223.109.33.33/livehkkp.chinamcache.com/live/lgs.m3u8
中央新影-老故事,http://hls.live.cqccn.com/__cl/cg:live/__c/gushi/__op/default/__f/index.m3u8
中央新影-老故事,http://lu1.cc/itv/php/yqgd.php?id=lgs
中央新影-老故事,http://121.51.249.73/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221226017/index.m3u8
中央新影-老故事,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226236/1.m3u8
中央新影-中学生,http://1.189.99.196/h5liveolpicga.miguvideo.com/migu/kailu/20210415/cctvzhongxuesheng/50/index.m3u8?&encrypt=
中央新影-中学生,http://121.51.249.73/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221226027/index.m3u8
中央新影-中学生,http://hls.live.cqccn.com/__cl/cg:live/__c/qicai/__op/default/__f/index.m3u8
CGTN,http://live.cgtn.com/1000/prog_index.m3u8
CGTN,http://news.cgtn.com/resource/live/english/cgtn-news.m3u8
CGTN,http://1.189.99.196/h5liveolpicga.miguvideo.com/envivo_x/2018/SD/cctvnews/1000/index.m3u8?&encrypt=
CGTN,http://223.109.33.33/liveplay-kk.rtxapp.com/live/program/live/ottcctvnews/1300000/mnf.m3u8
CGTN,http://223.109.33.33/4309-txt.otvstream.otvcloud.com/otv/skcc/live/channel15/index.m3u8
CGTN,http://121.51.249.73/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225708/index.m3u8
CGTN,http://223.109.33.33/livehkkp.chinamcache.com/live/CGTN.m3u8
